1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 
2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 
3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 
4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 
5, 28, 14, 7, 38, 19, 98, 49, 248, 124, 62, 31, 158, 79, 398, 199, 998, 499, 2498, 1249, 6248, 3124, 1562, 781, 3908, 1954, 977, 4888, 2444, 1222, 611, 3058, 1529, 7648, 3824, 1912, 956, 478, 239, 1198, 599, 2998, 1499, 7498, 3749, 18748, 9374, 4687, 23438, 11719, 
6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 3, 18, 9, 48, 24, 12, 6, 
7, 38, 19, 98, 49, 248, 124, 62, 31, 158, 79, 398, 199, 998, 499, 2498, 1249, 6248, 3124, 1562, 781, 3908, 1954, 977, 4888, 2444, 1222, 611, 3058, 1529, 7648, 3824, 1912, 956, 478, 239, 1198, 599, 2998, 1499, 7498, 3749, 18748, 9374, 4687, 23438, 11719, 58598, 29299, 146498, 
8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 2, 1, 8, 4, 
